line_no = 502, loop_id = 502, job_id = 502, prev = 501, is_same = true
line_no = 509, loop_id = 509, job_id = 509, prev = 508, is_same = true
line_no = 546, loop_id = 546, job_id = 546, prev = 545, is_same = true
line_no = 600, loop_id = 600, job_id = 600, prev = 599, is_same = true
line_no = 724, loop_id = 724, job_id = 724, prev = 723, is_same = true
line_no = 725, loop_id = 725, job_id = 725, prev = 724, is_same = true
line_no = 814, loop_id = 814, job_id = 814, prev = 813, is_same = true
line_no = 964, loop_id = 964, job_id = 964, prev = 963, is_same = true
line_no = 995, loop_id = 995, job_id = 995, prev = 994, is_same = true
line_no = 1001, loop_id = 1001, job_id = 1001, prev = 1000, is_same = true
line_no = 1002, loop_id = 1002, job_id = 1002, prev = 1001, is_same = true
line_no = 1003, loop_id = 1003, job_id = 1003, prev = 1002, is_same = true
line_no = 1040, loop_id = 1040, job_id = 1040, prev = 1039, is_same = true
line_no = 1041, loop_id = 1041, job_id = 1041, prev = 1040, is_same = true
line_no = 1042, loop_id = 1042, job_id = 1042, prev = 1041, is_same = true
line_no = 1043, loop_id = 1043, job_id = 1043, prev = 1042, is_same = true
line_no = 1044, loop_id = 1044, job_id = 1044, prev = 1043, is_same = true
line_no = 1045, loop_id = 1045, job_id = 1045, prev = 1044, is_same = true
line_no = 1240, loop_id = 1240, job_id = 1240, prev = 1239, is_same = true
line_no = 1249, loop_id = 1249, job_id = 1249, prev = 1248, is_same = true
line_no = 1290, loop_id = 1290, job_id = 1290, prev = 1289, is_same = true
line_no = 1291, loop_id = 1291, job_id = 1291, prev = 1290, is_same = true
line_no = 1310, loop_id = 1310, job_id = 1310, prev = 1309, is_same = true
line_no = 1311, loop_id = 1311, job_id = 1311, prev = 1310, is_same = true
line_no = 1500, loop_id = 1500, job_id = 1500, prev = 1499, is_same = true
line_no = 1501, loop_id = 1501, job_id = 1501, prev = 1500, is_same = true
line_no = 1502, loop_id = 1502, job_id = 1502, prev = 1501, is_same = true
line_no = 1503, loop_id = 1503, job_id = 1503, prev = 1502, is_same = true
line_no = 1504, loop_id = 1504, job_id = 1504, prev = 1503, is_same = true
line_no = 1505, loop_id = 1505, job_id = 1505, prev = 1504, is_same = true
line_no = 1506, loop_id = 1506, job_id = 1506, prev = 1505, is_same = true
line_no = 1507, loop_id = 1507, job_id = 1507, prev = 1506, is_same = true
line_no = 1508, loop_id = 1508, job_id = 1508, prev = 1507, is_same = true
