[28-06-2025 11:12:44.018 PM] Cpu Usage: 54%, Threshold set: 85%
[28-06-2025 11:12:45.018 PM] Cpu Usage: 40%, Threshold set: 85%
[28-06-2025 11:12:46.018 PM] Cpu Usage: 34%, Threshold set: 85%
[28-06-2025 11:12:47.018 PM] Cpu Usage: 70%, Threshold set: 85%
[28-06-2025 11:12:48.018 PM] Cpu Usage: 88%, Threshold set: 85%
[28-06-2025 11:12:49.018 PM] Cpu Usage: 67%, Threshold set: 85%
[28-06-2025 11:12:50.018 PM] Cpu Usage: 94%, Threshold set: 85%
[28-06-2025 11:12:51.018 PM] Cpu Usage: 69%, Threshold set: 85%
[28-06-2025 11:12:52.018 PM] Cpu Usage: 61%, Threshold set: 85%
[28-06-2025 11:12:53.018 PM] Cpu Usage: 93%, Threshold set: 85%
[28-06-2025 11:12:54.018 PM] Cpu Usage: 6%, Threshold set: 85%
[28-06-2025 11:12:55.018 PM] Cpu Usage: 69%, Threshold set: 85%
[28-06-2025 11:12:56.018 PM] Cpu Usage: 18%, Threshold set: 85%
[28-06-2025 11:12:57.018 PM] Cpu Usage: 23%, Threshold set: 85%
[28-06-2025 11:12:58.018 PM] Cpu Usage: 82%, Threshold set: 85%
[28-06-2025 11:12:59.018 PM] Cpu Usage: 29%, Threshold set: 85%
[28-06-2025 11:13:00.018 PM] Cpu Usage: 89%, Threshold set: 85%
[28-06-2025 11:13:01.018 PM] Cpu Usage: 28%, Threshold set: 85%
[28-06-2025 11:13:02.018 PM] Cpu Usage: 33%, Threshold set: 85%
[28-06-2025 11:13:03.018 PM] Cpu Usage: 11%, Threshold set: 85%
[28-06-2025 11:13:04.018 PM] Cpu Usage: 13%, Threshold set: 85%
[28-06-2025 11:13:05.018 PM] Cpu Usage: 85%, Threshold set: 85%
[28-06-2025 11:13:06.018 PM] Cpu Usage: 38%, Threshold set: 85%
[28-06-2025 11:13:07.018 PM] Cpu Usage: 26%, Threshold set: 85%
[28-06-2025 11:13:08.018 PM] Cpu Usage: 70%, Threshold set: 85%
[28-06-2025 11:13:09.018 PM] Cpu Usage: 7%, Threshold set: 85%
[28-06-2025 11:13:10.018 PM] Cpu Usage: 25%, Threshold set: 85%
[28-06-2025 11:13:11.018 PM] Cpu Usage: 31%, Threshold set: 85%
[28-06-2025 11:13:12.018 PM] Cpu Usage: 85%, Threshold set: 85%
[28-06-2025 11:13:13.018 PM] Cpu Usage: 24%, Threshold set: 85%
[28-06-2025 11:13:14.018 PM] Cpu Usage: 18%, Threshold set: 85%
[28-06-2025 11:13:15.018 PM] Cpu Usage: 48%, Threshold set: 85%
[28-06-2025 11:13:16.018 PM] Cpu Usage: 80%, Threshold set: 85%
[28-06-2025 11:13:17.018 PM] Cpu Usage: 0%, Threshold set: 85%
[28-06-2025 11:13:18.018 PM] Cpu Usage: 51%, Threshold set: 85%
[28-06-2025 11:13:19.018 PM] Cpu Usage: 71%, Threshold set: 85%
[28-06-2025 11:13:20.018 PM] Cpu Usage: 17%, Threshold set: 85%
[28-06-2025 11:13:21.018 PM] Cpu Usage: 79%, Threshold set: 85%
[28-06-2025 11:13:22.018 PM] Cpu Usage: 71%, Threshold set: 85%
[28-06-2025 11:13:23.018 PM] Cpu Usage: 41%, Threshold set: 85%
[28-06-2025 11:13:24.018 PM] Cpu Usage: 85%, Threshold set: 85%
[28-06-2025 11:13:25.018 PM] Cpu Usage: 76%, Threshold set: 85%
[28-06-2025 11:13:26.018 PM] Cpu Usage: 46%, Threshold set: 85%
[28-06-2025 11:13:27.018 PM] Cpu Usage: 67%, Threshold set: 85%
[28-06-2025 11:13:28.018 PM] Cpu Usage: 47%, Threshold set: 85%
[28-06-2025 11:13:29.018 PM] Cpu Usage: 40%, Threshold set: 85%
[28-06-2025 11:13:30.018 PM] Cpu Usage: 99%, Threshold set: 85%
[28-06-2025 11:13:31.018 PM] Cpu Usage: 12%, Threshold set: 85%
[28-06-2025 11:13:32.018 PM] Cpu Usage: 57%, Threshold set: 85%
[28-06-2025 11:13:33.018 PM] Cpu Usage: 8%, Threshold set: 85%
[28-06-2025 11:13:34.018 PM] Cpu Usage: 21%, Threshold set: 85%
[28-06-2025 11:13:35.018 PM] Cpu Usage: 64%, Threshold set: 85%
[28-06-2025 11:13:36.018 PM] Cpu Usage: 27%, Threshold set: 85%
[28-06-2025 11:13:37.018 PM] Cpu Usage: 16%, Threshold set: 85%
[28-06-2025 11:13:38.018 PM] Cpu Usage: 34%, Threshold set: 85%
[28-06-2025 11:13:39.018 PM] Cpu Usage: 85%, Threshold set: 85%
[28-06-2025 11:13:40.018 PM] Cpu Usage: 71%, Threshold set: 85%
[28-06-2025 11:13:41.018 PM] Cpu Usage: 19%, Threshold set: 85%
[28-06-2025 11:13:42.018 PM] Cpu Usage: 77%, Threshold set: 85%
[28-06-2025 11:13:43.018 PM] Cpu Usage: 6%, Threshold set: 85%
[28-06-2025 11:13:44.018 PM] Cpu Usage: 14%, Threshold set: 85%
[28-06-2025 11:13:45.018 PM] Cpu Usage: 18%, Threshold set: 85%
[28-06-2025 11:13:46.018 PM] Cpu Usage: 40%, Threshold set: 85%
[28-06-2025 11:13:47.018 PM] Cpu Usage: 60%, Threshold set: 85%
[28-06-2025 11:13:48.018 PM] Cpu Usage: 83%, Threshold set: 85%
[28-06-2025 11:13:49.018 PM] Cpu Usage: 42%, Threshold set: 85%
[28-06-2025 11:13:50.018 PM] Cpu Usage: 60%, Threshold set: 85%
[28-06-2025 11:13:51.018 PM] Cpu Usage: 60%, Threshold set: 85%
[28-06-2025 11:13:52.018 PM] Cpu Usage: 95%, Threshold set: 85%
[28-06-2025 11:13:53.018 PM] Cpu Usage: 45%, Threshold set: 85%
[28-06-2025 11:13:54.018 PM] Cpu Usage: 63%, Threshold set: 85%
[28-06-2025 11:13:55.018 PM] Cpu Usage: 10%, Threshold set: 85%
[28-06-2025 11:13:56.018 PM] Cpu Usage: 10%, Threshold set: 85%
[28-06-2025 11:13:57.018 PM] Cpu Usage: 82%, Threshold set: 85%
[28-06-2025 11:13:58.018 PM] Cpu Usage: 91%, Threshold set: 85%
[28-06-2025 11:13:59.018 PM] Cpu Usage: 20%, Threshold set: 85%
[28-06-2025 11:14:00.018 PM] Cpu Usage: 88%, Threshold set: 85%
[28-06-2025 11:14:01.018 PM] Cpu Usage: 25%, Threshold set: 85%
[28-06-2025 11:14:02.018 PM] Cpu Usage: 52%, Threshold set: 85%
[28-06-2025 11:14:03.018 PM] Cpu Usage: 69%, Threshold set: 85%
[28-06-2025 11:14:04.018 PM] Cpu Usage: 63%, Threshold set: 85%
[28-06-2025 11:14:05.018 PM] Cpu Usage: 43%, Threshold set: 85%
[28-06-2025 11:14:06.018 PM] Cpu Usage: 48%, Threshold set: 85%
[28-06-2025 11:14:07.018 PM] Cpu Usage: 57%, Threshold set: 85%
[28-06-2025 11:14:08.018 PM] Cpu Usage: 75%, Threshold set: 85%
[28-06-2025 11:14:09.018 PM] Cpu Usage: 63%, Threshold set: 85%
[28-06-2025 11:14:10.018 PM] Cpu Usage: 83%, Threshold set: 85%
[28-06-2025 11:14:11.018 PM] Cpu Usage: 49%, Threshold set: 85%
[28-06-2025 11:14:12.018 PM] Cpu Usage: 39%, Threshold set: 85%
[28-06-2025 11:14:13.018 PM] Cpu Usage: 87%, Threshold set: 85%
[28-06-2025 11:14:14.018 PM] Cpu Usage: 26%, Threshold set: 85%
[28-06-2025 11:14:15.018 PM] Cpu Usage: 79%, Threshold set: 85%
[28-06-2025 11:14:16.018 PM] Cpu Usage: 12%, Threshold set: 85%
